Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
steward,0,4.07,1.16,0,29,1.00,140,Noun
stewardess,0,4.31,1.14,0,29,1.00,161,Noun
stewardship,0,2.54,1.21,2,28,0.93,2,Noun
stewed,0,2.97,1.52,0,30,1.00,22,Verb
stewpot,0,4.7,0.72,1,28,0.96,2,Noun
stick,0,4.59,1.12,0,27,1.00,4953,Verb
stick figure,1,4.5,0.88,0,28,1.00,0,Err:512
stick out,1,2.68,1.46,0,25,1.00,0,Err:512
stick up,1,3.11,1.47,1,29,0.97,0,Err:512
stick with,1,2.16,1.11,2,27,0.93,0,Err:512
stickball,0,4.41,1.02,1,30,0.97,13,Noun
sticker,0,4.67,0.62,0,27,1.00,142,Noun
stickers,0,4.85,0.46,0,27,1.00,93,Noun
stickiness,0,3.9,1.37,0,29,1.00,3,Noun
sticking,0,3.3,1.2,1,28,0.96,741,Verb
stickler,0,2.46,1.42,2,28,0.93,46,Noun
sticklike,0,3.3,1.49,0,27,1.00,0,Err:512
stickman,0,4.22,1.28,2,25,0.92,2,Noun
sticks,0,4.83,0.66,0,29,1.00,694,Noun
stickup,0,3.5,1.45,1,29,0.97,61,Noun
sticky,0,3.59,1.55,0,27,1.00,292,Adjective
stiff,0,3.62,1.32,0,29,1.00,523,Adjective
stiffen,0,3.82,1.25,0,28,1.00,10,Verb
stiffening,0,3,1.47,0,27,1.00,8,Verb
stiffly,0,2.85,1.26,1,27,0.96,2,Adverb
stiffness,0,2.93,1.27,0,27,1.00,9,Noun
stifle,0,2.59,1.3,0,29,1.00,15,Verb
stifling,0,2.9,1.45,0,29,1.00,17,Verb
stiflingly,0,1.92,0.84,3,29,0.90,1,Adverb
stigma,0,1.76,0.97,0,25,1.00,27,Noun
stigmatic,0,2.11,1.17,1,29,0.97,1,Adjective
stigmatism,0,2.86,1.53,1,30,0.97,1,Noun
stigmatization,0,2.08,0.95,2,27,0.93,0,Err:512
stigmatize,0,2.04,1.25,4,30,0.87,0,Err:512
stiletto,0,4.74,0.53,1,28,0.96,17,Noun
still,0,3.46,1.35,0,24,1.00,40225,Adverb
still life,1,3.5,1.35,1,29,0.97,0,Err:512
stillbirth,0,3.93,1.24,0,27,1.00,0,Err:512
stillborn,0,3.86,1.48,0,29,1.00,15,Adjective
stillness,0,2.4,1.38,0,25,1.00,22,Noun
stilt,0,4.5,0.92,1,29,0.97,2,Noun
stimulant,0,4.08,1.13,1,27,0.96,26,Noun
stimulate,0,3.22,1.4,0,27,1.00,70,Verb
stimulating,0,2.25,1.21,0,28,1.00,120,Adjective
stimulatingly,0,2.38,1.47,3,29,0.90,0,Err:512
stimulation,0,2.44,1.45,0,27,1.00,70,Noun
stimulator,0,3.4,1.3,0,30,1.00,5,Noun
stimulatory,0,2.08,1.29,2,28,0.93,1,Adjective
stimuli,0,2.59,1.55,0,27,1.00,39,Noun
stimulus,0,3.04,1.34,1,28,0.96,26,Noun
sting,0,4.41,1.01,0,27,1.00,358,Noun
stinger,0,4.3,1.02,1,31,0.97,45,Noun
stingily,0,2.17,1.23,1,30,0.97,0,Err:512
stinginess,0,1.78,1.01,1,28,0.96,3,Noun
stinging,0,4.04,1.19,0,27,1.00,46,Adjective
stingingly,0,1.88,1.07,1,27,0.96,0,Err:512
stingless,0,2.74,1.57,2,25,0.92,0,Err:512
stingray,0,4.9,0.4,0,31,1.00,15,Name
stingy,0,2,0.87,0,25,1.00,63,Adjective
stink,0,3.72,1.39,0,29,1.00,673,Verb
stinker,0,2.81,1.33,1,28,0.96,105,Noun
stinking,0,3.2,1.38,0,25,1.00,473,Adjective
stinkweed,0,3.88,1.36,3,27,0.89,6,Noun
stinkwood,0,3.57,1.67,4,27,0.85,0,Err:512
stinky,0,3.73,1.14,0,30,1.00,182,Adjective
stint,0,2.83,1.44,2,25,0.92,38,Noun
stipend,0,3.46,1.43,1,29,0.97,22,Noun
